Date,Oil,Condensate,NGL,Gas,Sum of production (m^3)
2013-01-01,7.268364,0.368346,1.605958,10.565521,19.808189
2013-01-01,6.92629,0.382806,1.511779,9.362895,18.18377
2013-02-01,6.454394,0.278134,1.37367,8.860956,16.967154
2013-03-01,7.133803,0.290956,1.536803,9.55625,18.517812
2013-04-01,7.155705,0.312055,1.539413,9.121153,18.128326
2013-05-01,7.461689,0.341237,1.609649,9.023136,18.435711
2013-06-01,6.297951,0.327493,1.52192,8.27468,16.422044
2013-07-01,7.734406,0.362085,1.645162,9.185689,18.927342
2013-08-01,7.277733,0.343854,1.438085,7.310708,16.37038
2013-09-01,6.249061,0.308975,0.939703,7.83023,15.327969
2013-11-01,7.356599,0.329874,1.397575,9.413575,18.497623
2013-12-01,7.611157,0.345345,1.598554,10.241201,19.796257
2014-01-01,7.6904,0.331531,1.661258,9.875963,19.559152
2014-01-01,7.758718,0.201589,1.620695,10.454961,20.035963
2014-02-01,6.849523,0.315578,1.51907,9.206675,17.890846
2014-03-01,7.539212,0.325586,1.762399,10.391308,20.018505
2014-04-01,7.445015,0.242612,1.562989,8.913379,18.163995
2014-05-01,6.560525,0.132427,1.395152,8.051669,16.139773
2014-06-01,6.750908,0.205164,1.491237,7.325251,15.77256
2014-07-01,7.637729,0.242381,1.594231,7.899097,17.373438
2014-08-01,7.39551,0.221128,1.43922,7.267027,16.322885
2014-09-01,7.020117,0.215917,1.309881,7.882,16.427915
2014-11-01,7.378113,0.251526,1.663734,10.14385,19.437223
2014-12-01,7.723204,0.226982,1.782376,10.892235,20.624797
2015-01-01,7.561466,0.219872,1.691265,10.25823,19.730833
2015-01-01,8.063035,0.216823,1.667909,10.773999,20.721766
2015-02-01,6.867547,0.205197,1.483184,10.034244,18.590172
2015-03-01,7.564675,0.231691,1.770924,10.852608,20.419898
2015-04-01,7.384883,0.235643,1.564577,7.823342,17.008445
2015-05-01,7.459685,0.179017,1.696029,8.682005,18.016736
2015-06-01,7.556126,0.122969,1.681869,8.265218,17.626182
2015-07-01,7.675284,0.219322,1.687201,9.633474,19.215281
2015-08-01,7.6555,0.20774,1.595718,9.635267,19.094225
2015-09-01,7.348841,0.199216,1.338399,9.301328,18.187784
2015-11-01,7.610676,0.200561,1.629237,10.586741,20.027215
2015-12-01,8.106014,0.230223,1.799897,11.161985,21.298119
2016-01-01,7.982778,0.182118,1.858781,11.176039,21.199716
2016-01-01,8.520124,0.162604,1.737101,10.765589,21.185418
2016-02-01,7.478274,0.170956,1.797881,10.558233,20.005344
2016-03-01,7.930772,0.173495,1.866201,11.171592,21.14206
2016-04-01,7.770261,0.141994,1.760286,10.429756,20.102297
2016-05-01,7.716325,0.173353,1.752902,9.582167,19.224747
2016-06-01,6.892006,0.161187,1.608605,8.190246,16.852044
2016-07-01,8.579851,0.160795,1.827092,9.002764,19.570502
2016-08-01,7.702108,0.160183,1.647039,8.033024,17.542354
2016-09-01,6.682683,0.141279,0.878643,6.350696,14.053301
2016-11-01,8.360146,0.151067,1.786675,10.734522,21.03241
2016-12-01,8.317673,0.154136,1.78824,10.772053,21.032102
2017-01-01,7.988729,0.160976,1.854054,11.555743,21.559502
2017-01-01,7.640143,0.151072,1.781922,10.851255,20.424392
2017-02-01,7.424215,0.136841,1.656763,10.144751,19.36257
2017-03-01,8.448852,0.155579,1.87132,11.115433,21.591184
2017-04-01,8.146939,0.14585,1.797231,10.5869,20.67692
2017-05-01,7.972546,0.08881,1.717052,9.149354,18.927762
2017-06-01,7.420639,0.115374,1.464181,8.647246,17.64744
2017-07-01,7.979277,0.153752,1.703289,10.585152,20.42147
2017-08-01,7.66004,0.152962,1.676157,10.418585,19.907744
2017-09-01,6.874989,0.145198,1.435245,9.493598,17.94903
2017-11-01,7.113607,0.14577,1.650749,10.943353,19.853479
2017-12-01,7.608276,0.155218,1.786809,11.172834,20.723137
2018-01-01,7.989612,0.140471,1.84355,11.290685,21.264318
2018-01-01,7.306752,0.144873,1.705728,10.561927,19.71928
2018-02-01,6.964368,0.142314,1.562656,10.036354,18.705692
2018-03-01,7.487413,0.14251,1.740163,10.840786,20.210872
2018-04-01,7.212518,0.147348,1.548893,10.061028,18.969787
2018-05-01,6.501569,0.145231,1.521593,9.48245,17.650843
2018-06-01,7.094477,0.141418,1.576294,9.211285,18.023474
2018-07-01,7.50848,0.149571,1.757179,10.565076,19.980306
2018-08-01,7.373813,0.147088,1.654937,10.177605,19.353443
2018-09-01,6.185165,0.139676,1.309147,9.020493,16.654481
2018-11-01,7.128949,0.137649,1.67244,10.205291,19.144329
2018-12-01,7.410122,0.136076,1.563979,10.750412,19.860589
2019-01-01,7.200308,0.130726,1.640495,11.149884,20.121413
2019-01-01,7.275837,0.147432,1.356849,9.295957,18.076075
2019-02-01,6.181814,0.136805,1.454546,10.121548,17.894713
2019-03-01,6.849042,0.146338,1.656582,10.897656,19.549618
2019-04-01,6.52878,0.144084,1.526856,10.09616,18.29588
2019-05-01,6.20889,0.153726,1.465831,9.744742,17.573189
2019-06-01,5.045046,0.147879,1.475158,9.335894,16.003977
2019-07-01,6.714731,0.132215,1.608991,9.57775,18.033687
2019-08-01,6.720158,0.143286,1.31718,8.182235,16.362859
2019-09-01,6.198683,0.08435,1.157369,5.922489,13.362891
2019-11-01,7.983226,0.141987,1.288148,10.035917,19.449278
2019-12-01,8.591723,0.146671,1.426875,10.75053,20.915799
2020-01-01,8.098165,0.145291,1.450209,10.479055,20.17272
2020-01-01,7.933923,0.066864,1.228648,8.968857,18.198292
2020-02-01,8.061869,0.13611,1.435743,9.87768,19.511402
2020-03-01,8.360229,0.137642,1.587218,10.713062,20.798151
2020-04-01,8.352237,0.134586,1.442096,9.081734,19.010653
2020-05-01,8.594113,0.105796,1.288027,8.188209,18.176145
2020-06-01,7.315645,0.080739,1.418217,8.387743,17.202344
2020-07-01,8.529123,0.131842,1.46025,9.472182,19.593397
2020-08-01,8.470416,0.128956,1.33267,8.886564,18.818606
2020-09-01,7.051199,0.084202,1.278788,8.310203,16.724392
2020-11-01,0.0,0.0,0.0,0.0,0.0
