"time","OSLO SEAFOOD PR","volume"
"2020-11-30 01:00","97.52","0"
"2020-12-01 01:00","100.04","0"
"2020-12-02 01:00","97.99","0"
"2020-12-03 01:00","97.61","0"
"2020-12-04 01:00","97.46","0"
"2020-12-07 01:00","96.65","0"
"2020-12-08 01:00","96.19","0"
"2020-12-09 01:00","96.5","0"
"2020-12-10 01:00","96.37","0"
"2020-12-11 01:00","95.57","0"
"2020-12-14 01:00","95.62","0"
"2020-12-15 01:00","96.24","0"
"2020-12-16 01:00","97.34","0"
"2020-12-17 01:00","98.58","0"
"2020-12-18 01:00","100.11","0"
"2020-12-21 01:00","98.55","0"
"2020-12-22 01:00","99.3","0"
"2020-12-23 01:00","102.01","0"
"2020-12-24 01:00","102.01","0"
"2020-12-28 01:00","102.25","0"
"2020-12-29 01:00","104.28","0"
"2020-12-30 01:00","104.29","0"
"2020-12-31 01:00","104.29","0"
"2021-01-04 01:00","102.25","0"
"2021-01-05 01:00","102.57","0"
"2021-01-06 01:00","103.53","0"
"2021-01-07 01:00","104.1","0"
"2021-01-08 01:00","105.74","0"
"2021-01-11 01:00","104.69","0"
"2021-01-12 01:00","105.53","0"
"2021-01-13 01:00","102.53","0"
"2021-01-14 01:00","101.72","0"
"2021-01-15 01:00","101.84","0"
"2021-01-18 01:00","102.53","0"
"2021-01-19 01:00","104.63","0"
"2021-01-20 01:00","103.34","0"
